Name,Image_URL,Real name,First Appearance,Creators,Team Affiliations,Aliases,Base of Operations,Powers,Skills and Abilities,Tools and Weapons
Sentry,https://static.wikia.nocookie.net/superheroes/images/4/4c/Sentry.jpg/revision/latest/scale-to-width-down/250?cb=20240320175403,,"The Sentry #1 (September, 2000)","Paul Jenkins, Jae Lee, Rick Veitch",,,New York City,"Superhuman strength, speed, stamina, agility, reflexes, senses, durability and Invulnerability, Energy projection and manipulation, Matter manipulation, Flight, Telepathy, Resurrection, Healing factor, Mental projection",Fighting Experience,
Shadow Lass,https://static.wikia.nocookie.net/superheroes/images/7/7e/Shadow_Lass.jpg/revision/latest/scale-to-width-down/200?cb=20230501175959,,"Adventure Comics #365 (February, 1968)","Jim Shooter, Kurt Swan","Legion of Super-Heroes,",Umbra,Legion Clubhouse,"Dark energy projection, Shadow manipulation, Night vision",Hand-to-hand combat,
Shadowcat,https://static.wikia.nocookie.net/superheroes/images/3/33/Shadowcat.jpg/revision/latest/scale-to-width-down/180?cb=20230802174025,,,,,,,,,
Shang-Chi,https://static.wikia.nocookie.net/superheroes/images/3/31/Shang-Chi.jpg/revision/latest/scale-to-width-down/180?cb=20140815190153,,,,,,,,,
Shatterstar,https://static.wikia.nocookie.net/superheroes/images/c/c5/Shatterstar.jpg/revision/latest/scale-to-width-down/200?cb=20230914191701,,"New Mutants #99 (January, 1991)","Rob Liefeld, Fabian Nicieza","X-Force, X-Factor",Star,Krakoa,"Enhanced strength, speed, and agility, Bio-energy conduction through metal, Empathically fuels teleportation",Fighting Experience,
She-Hulk,https://static.wikia.nocookie.net/superheroes/images/7/77/She-Hulk.jpg/revision/latest/scale-to-width-down/250?cb=20240320173924,,"Savage She-Hulk #1 (February, 1980) [as She-Hulk], Hulk (vol. 4) #6 (July, 2017) [as Hulk]","Stan Lee, John Buscema","Avengers; formerly Ancient Order of the Shield, A-Force, Mighty Avengers, Fantastic Four, Future Foundation, Incredible Hulks, Fantastic Force, Heroes for Hire, Fearsome Four, S.H.I.E.L.D., Goodman, Lieber, Kurtzberg & Holliway, Defenders, Hulkbusters, Lady Liberators, Freeman Bonding Inc., Brides of Set, Queen's Vengeance, Law Offices of Jennifer Walters, PLLC, Ryu, Barber, Zucker & Scott","Hulk, Glamazonia, Jennifer Jameson, Jennifer Smith, Jade Giantess, Nurse Jennifer Emerald, ""Shulkie"", She-Xemnu, Lady Hulk, Hulkette, Queen Green, Gamora, Jenny-Poo, Green Cheeks, Freakjob, Jenny/Miss Jenny, Savage She-Hulk, Gamma Gal/Glamma Gal, Earth-Sow, Green Jeans, Ghost-Girl",New York City,"Super Strength, Super Endurance, Transformation, Healing Factor","Skilled Fighter, Expert Attorney, Trained Pilot",
Sif,https://static.wikia.nocookie.net/superheroes/images/6/6b/Sif.jpg/revision/latest/scale-to-width-down/250?cb=20190912175009,,"Journey into Mystery #102 (March, 1964)","Stan Lee, Jack Kirby","The Gods of Asgard, War Avengers; formerly Lost Gods, League of Realms","The Stunning Sif, Sif the Unstoppable, Fair Sif, Fair One, Fairest of the Fair, Gentle Sif, Gentlest of the Gentle, the Dark-Haired Daughter of Asgard, Ericka Velez, Rose Chambers, Sybil, Tiffany, Tif",Asgard,"Superhuman strength, endurance, longevity, durability","Master of hand-to-hand combat, Skilled in cold weapons",
Silk,https://static.wikia.nocookie.net/superheroes/images/2/2d/Silk.jpg/revision/latest/scale-to-width-down/250?cb=20230830185929,,"Amazing Spider-Man (Vol. 3) #1 (April, 2014)","Dan Slott, Humberto Ramos","Web-Warriors, Order of the Web, Spider-Army","Spider-Woman, Silkworm","New York City, New York","Superhuman strength, superhuman agility, enhanced speed and reflexes, precognitive spider-sense, wall crawling, retractable fingertip claws, organic web spinning.","Tracking, skilled fighter",
Silver Surfer,https://static.wikia.nocookie.net/superheroes/images/9/92/Silver_Surfer.jpg/revision/latest/scale-to-width-down/250?cb=20240321184311,,"The Fantastic Four (Vol. 1) #48 (March, 1966)",Jack Kirby,,,None (Nomadic),"Endowed with the Power Cosmic, that allows, among other powers, faster than light speed, matter transmutation and flight","Fighting Experience, Great Intelligence and Wisdom",Board
Siryn,https://static.wikia.nocookie.net/superheroes/images/c/cd/Siryn.jpg/revision/latest/scale-to-width-down/250?cb=20230914020225,,"Spider-Woman #37 (December, 1980)","Chris Claremont, Steve Leialoha","x-Force, X-Men, X-Corp, X-Factor",Banshee,Krakoa,"Sonic scream, Hypnotic song, Flight",Fighting Experience,
Skaar,https://static.wikia.nocookie.net/superheroes/images/9/92/Skaar.jpg/revision/latest?cb=20200424001242,,,,,,,,,
