Character,Image_URL
Captain Marvel II,https://static.wikia.nocookie.net/marvel_dc/images/4/44/Shazam_Freddy.jpg/revision/latest/scale-to-width-down/325?cb=20101017202055
Captain Midnight,https://static.wikia.nocookie.net/marvel_dc/images/7/78/Captain_Midnight_Vol_1_46.jpg/revision/latest/scale-to-width-down/349?cb=20110717231352
Captain Planet,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Captain_Planet_and_the_Planeteers_title.jpg/220px-Captain_Planet_and_the_Planeteers_title.jpg
Captain Universe,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Captain_Universe.jpg/220px-Captain_Universe.jpg
Carnage,https://static.wikia.nocookie.net/marvel_dc/images/4/4f/Carnage.png/revision/latest?cb=20110411222534
Cat,https://static.wikia.nocookie.net/marvel_dc/images/0/0f/Catwoman_%28Earth-Two%29.jpg/revision/latest/scale-to-width-down/350?cb=20200831013835
Catwoman,https://static.wikia.nocookie.net/marvel_dc/images/7/7c/Batman_One_Bad_Day_Catwoman_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/331?cb=20230125170331
Century,None
Cerebra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lobes_of_the_brain_NL.svg/250px-Lobes_of_the_brain_NL.svg.png
Chamber,None
Chameleon,https://static.wikia.nocookie.net/marvel_dc/images/1/12/Chameleon_Jonah_Hex_0002.jpg/revision/latest/scale-to-width-down/350?cb=20150128085220
Changeling,https://static.wikia.nocookie.net/marvel_dc/images/f/f0/Changeling_Forms3.jpg/revision/latest/scale-to-width-down/350?cb=20200831033846
Cheetah,https://static.wikia.nocookie.net/marvel_dc/images/b/b2/DC%27s_Year_of_the_Villain_Special_Vol_1_1_Textless_Cheetah_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20190518135958
Cheetah II,https://static.wikia.nocookie.net/marvel_dc/images/8/80/Cheetah_II.JPG/revision/latest/scale-to-width-down/350?cb=20200831035358
Cheetah III,None
Chromos,None
Chuck Norris,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Chuck_Norris_May_2015.jpg/220px-Chuck_Norris_May_2015.jpg
Citizen Steel,https://static.wikia.nocookie.net/marvel_dc/images/d/de/Citizen_Steel.jpg/revision/latest/scale-to-width-down/329?cb=20140616171438
Claire Bennet,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/ClaireBennetpromo.jpg/220px-ClaireBennetpromo.jpg
Clayface,https://static.wikia.nocookie.net/marvel_dc/images/9/9e/Batman_One_Bad_Day_Clayface_Vol_1_1_Textless.jpg/revision/latest/scale-to-width-down/326?cb=20230224163751
Cloak,None
Cogliostro,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Spawn_Cogliostro.jpg/220px-Spawn_Cogliostro.jpg
Colossus,None
Concrete,None
Copycat,https://static.wikia.nocookie.net/marvel_dc/images/2/2d/Copycat_DV8.jpg/revision/latest/scale-to-width-down/350?cb=20071126151500
Cottonmouth,https://static.wikia.nocookie.net/marvel_dc/images/4/41/Cottonmouth_Prime_Earth_0001.jpg/revision/latest/scale-to-width-down/350?cb=20170320141220
Crimson Crusader,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/ClanDestinev1.1Cov.jpg/220px-ClanDestinev1.1Cov.jpg
Crimson Dynamo,https://upload.wikimedia.org/wikipedia/en/9/97/Crimson_Dynamo_Armor_MK_I.jpg
Crystal,https://static.wikia.nocookie.net/marvel_dc/images/5/5b/Crystal_Palace_Von_Hoverkraft_Vertigo_Universe_001.jpg/revision/latest/scale-to-width-down/266?cb=20210924083147
Curse,https://static.wikia.nocookie.net/marvel_dc/images/1/18/Doctor_Fate_Hector_Hall_009.jpg/revision/latest/scale-to-width-down/329?cb=20110204110922
Cy-Gor,None
Cyborg,https://static.wikia.nocookie.net/marvel_dc/images/9/91/Cyborg_Vol_3_6_Textless_Alleyne_Variant.jpg/revision/latest/scale-to-width-down/332?cb=20231226211750
Cyborg Superman,https://static.wikia.nocookie.net/marvel_dc/images/7/7b/Henry_Henshaw_Prime_Earth_005.jpg/revision/latest/scale-to-width-down/329?cb=20231101221601
Cyclops,https://static.wikia.nocookie.net/marvel_dc/images/5/55/Cyclops_001.jpg/revision/latest/scale-to-width-down/324?cb=20130502145531
DL Hawkins,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Heroes_logo.png/220px-Heroes_logo.png
Dagger,https://static.wikia.nocookie.net/marvel_dc/images/a/a3/Ned_Brann_01.png/revision/latest/scale-to-width-down/182?cb=20110705105338
Daphne Powell,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/No_Ordinary_Family_2010_Intertitle.png/220px-No_Ordinary_Family_2010_Intertitle.png
Daredevil,None
Darkhawk,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Darkhawk_1.jpg/220px-Darkhawk_1.jpg
Darkman,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Darkman_film_poster.jpg/220px-Darkman_film_poster.jpg
Darkseid,https://static.wikia.nocookie.net/marvel_dc/images/e/e1/Justice_League_Odyssey_Vol_1_21_Textless_Variant.jpg/revision/latest/scale-to-width-down/325?cb=20200610032313
Darkstar,https://static.wikia.nocookie.net/marvel_dc/images/6/68/Darkstars_004.jpg/revision/latest/scale-to-width-down/331?cb=20120811125216
Darth Maul,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/MaulStarWars.jpg/220px-MaulStarWars.jpg
Darth Vader,https://upload.wikimedia.org/wikipedia/en/f/f7/Darth_Vader.png
Dash,None
Data,None
Dazzler,https://static.wikia.nocookie.net/marvel_dc/images/3/3d/Dazzler.png/revision/latest?cb=20110216151250
Deadman,https://static.wikia.nocookie.net/marvel_dc/images/0/0f/Knight_Terrors_Night%27s_End_Vol_1_1_Variant_1_Textless.jpg/revision/latest/scale-to-width-down/338?cb=20230917010628
Deadpool,https://upload.wikimedia.org/wikipedia/en/thumb/c/ca/Deadpool.png/220px-Deadpool.png
Deadshot,https://static.wikia.nocookie.net/marvel_dc/images/2/29/Suicide_Squad_Vol_5_42_Textless_Variant.jpg/revision/latest/scale-to-width-down/328?cb=20211101042648
Deathlok,https://static.wikia.nocookie.net/marvel_dc/images/8/8f/Deathlok_01.jpg/revision/latest/scale-to-width-down/350?cb=20110303085108
Deathstroke,https://static.wikia.nocookie.net/marvel_dc/images/f/fe/Deathstroke_Vol_3_3_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20141224184026
Dementor,https://static.wikia.nocookie.net/marvel_dc/images/9/9e/Dementor_01.jpg/revision/latest/scale-to-width-down/350?cb=20090824004037
Demogoblin,https://upload.wikimedia.org/wikipedia/en/thumb/f/fa/Demogoblin.jpg/220px-Demogoblin.jpg
Destroyer,https://static.wikia.nocookie.net/marvel_dc/images/2/21/Destroyer_001.jpg/revision/latest/scale-to-width-down/185?cb=20110324111452
Diamondback,None
Doc Samson,https://upload.wikimedia.org/wikipedia/en/thumb/8/88/Docsamson.jpg/220px-Docsamson.jpg
Doctor Doom,https://static.wikia.nocookie.net/marvel_dc/images/7/78/Doctor_Doom_Earth-Two_001.png/revision/latest/scale-to-width-down/185?cb=20151005200954
Doctor Doom II,None
Doctor Fate,https://static.wikia.nocookie.net/marvel_dc/images/5/55/Batman_vs._Robin_Vol_1_4_Textless_Di_Meo_Variant.jpg/revision/latest/scale-to-width-down/329?cb=20230106173923
Doctor Octopus,https://upload.wikimedia.org/wikipedia/en/thumb/b/bc/Dr._Octopus_Marvel.jpg/220px-Dr._Octopus_Marvel.jpg
Doctor Poison,https://static.wikia.nocookie.net/marvel_dc/images/2/25/Marina_Maru_%28Prime_Earth%29_001.jpg/revision/latest/scale-to-width-down/194?cb=20170307183711
Doctor Strange,https://upload.wikimedia.org/wikipedia/en/thumb/4/4f/Doctor_Strange_Vol_4_2_Ross_Variant_Textless.jpg/220px-Doctor_Strange_Vol_4_2_Ross_Variant_Textless.jpg
Domino,https://static.wikia.nocookie.net/marvel_dc/images/2/21/Domino_Earth-Two.png/revision/latest/scale-to-width-down/185?cb=20110122194028
Donatello,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Cinq_ma%C3%AEtres_de_la_Renaissance_florentine_Mus%C3%A9e_du_Louvre_Peintures_INV_267_-_Donatello.jpg/220px-Cinq_ma%C3%AEtres_de_la_Renaissance_florentine_Mus%C3%A9e_du_Louvre_Peintures_INV_267_-_Donatello.jpg
Donna Troy,https://static.wikia.nocookie.net/marvel_dc/images/c/cd/Titans_Beast_World_Vol_1_1_Donna_Troy_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20231128143334
Doomsday,https://static.wikia.nocookie.net/marvel_dc/images/8/81/The_Death_of_Superman_30th_Anniversary_Special_Vol_1_1_Textless_Mattina_Variant.jpg/revision/latest/scale-to-width-down/333?cb=20221117054734
Doppelganger,https://static.wikia.nocookie.net/marvel_dc/images/d/d5/Doppelganger_001.jpg/revision/latest/scale-to-width-down/350?cb=20180712135918
Dormammu,https://upload.wikimedia.org/wikipedia/en/8/85/Dormammu.jpg
Dr Manhattan,https://upload.wikimedia.org/wikipedia/en/thumb/d/da/Doctor_Manhattan.png/220px-Doctor_Manhattan.png
Drax the Destroyer,https://upload.wikimedia.org/wikipedia/en/thumb/0/02/Drax-cover.jpg/220px-Drax-cover.jpg
