Character,Image_URL
Captain Planet,https://upload.wikimedia.org/wikipedia/en/thumb/1/1e/Captain_Planet_and_the_Planeteers_title.jpg/220px-Captain_Planet_and_the_Planeteers_title.jpg
Captain Universe,https://upload.wikimedia.org/wikipedia/en/thumb/1/11/Captain_Universe.jpg/220px-Captain_Universe.jpg
Carnage,https://static.wikia.nocookie.net/marvel_dc/images/4/4f/Carnage.png/revision/latest?cb=20110411222534
Cat,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Cat_August_2010-4.jpg/181px-Cat_August_2010-4.jpg
Catwoman,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Catwoman_Infobox.jpg/220px-Catwoman_Infobox.jpg
Cerebra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Lobes_of_the_brain_NL.svg/250px-Lobes_of_the_brain_NL.svg.png
Chameleon,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Chamaeleonidae-01.jpg/220px-Chamaeleonidae-01.jpg
Changeling,https://static.wikia.nocookie.net/marvel_dc/images/f/f0/Changeling_Forms3.jpg/revision/latest/scale-to-width-down/350?cb=20200831033846
Cheetah,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Cheetah_at_Working_with_Wildlife.jpg/220px-Cheetah_at_Working_with_Wildlife.jpg
Cheetah II,https://static.wikia.nocookie.net/marvel_dc/images/8/80/Cheetah_II.JPG/revision/latest/scale-to-width-down/350?cb=20200831035358
Chuck Norris,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Chuck_Norris_May_2015.jpg/220px-Chuck_Norris_May_2015.jpg
Citizen Steel,https://upload.wikimedia.org/wikipedia/en/thumb/e/e4/Citizensteel.jpg/220px-Citizensteel.jpg
Claire Bennet,https://upload.wikimedia.org/wikipedia/en/thumb/d/d0/ClaireBennetpromo.jpg/220px-ClaireBennetpromo.jpg
Clayface,https://upload.wikimedia.org/wikipedia/en/thumb/8/8d/Clayfaces.jpg/220px-Clayfaces.jpg
Cogliostro,https://upload.wikimedia.org/wikipedia/en/thumb/4/45/Spawn_Cogliostro.jpg/220px-Spawn_Cogliostro.jpg
Copycat,https://static.wikia.nocookie.net/marvel_dc/images/2/2d/Copycat_DV8.jpg/revision/latest/scale-to-width-down/350?cb=20071126151500
Cottonmouth,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Agkistrodon_piscivorus_piscivorus_CDC.png/220px-Agkistrodon_piscivorus_piscivorus_CDC.png
Crimson Crusader,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/ClanDestinev1.1Cov.jpg/220px-ClanDestinev1.1Cov.jpg
Crimson Dynamo,https://upload.wikimedia.org/wikipedia/en/9/97/Crimson_Dynamo_Armor_MK_I.jpg
Crystal,https://static.wikia.nocookie.net/marvel_dc/images/5/5b/Crystal_Palace_Von_Hoverkraft_Vertigo_Universe_001.jpg/revision/latest/scale-to-width-down/266?cb=20210924083147
Curse,https://static.wikia.nocookie.net/marvel_dc/images/1/18/Doctor_Fate_Hector_Hall_009.jpg/revision/latest/scale-to-width-down/329?cb=20110204110922
Cyborg,https://static.wikia.nocookie.net/marvel_dc/images/9/91/Cyborg_Vol_3_6_Textless_Alleyne_Variant.jpg/revision/latest/scale-to-width-down/332?cb=20231226211750
Cyborg Superman,https://upload.wikimedia.org/wikipedia/en/thumb/2/2d/Hank_Henshaw%2C_as_he_appears_in_the_panel_of_a_comic_book.jpg/205px-Hank_Henshaw%2C_as_he_appears_in_the_panel_of_a_comic_book.jpg
Cyclops,https://static.wikia.nocookie.net/marvel_dc/images/5/55/Cyclops_001.jpg/revision/latest/scale-to-width-down/324?cb=20130502145531
DL Hawkins,https://upload.wikimedia.org/wikipedia/en/thumb/7/70/Heroes_logo.png/220px-Heroes_logo.png
Dagger,https://static.wikia.nocookie.net/marvel_dc/images/a/a3/Ned_Brann_01.png/revision/latest/scale-to-width-down/182?cb=20110705105338
Daphne Powell,https://upload.wikimedia.org/wikipedia/en/thumb/5/5f/No_Ordinary_Family_2010_Intertitle.png/220px-No_Ordinary_Family_2010_Intertitle.png
Darkhawk,https://upload.wikimedia.org/wikipedia/en/thumb/f/fb/Darkhawk_1.jpg/220px-Darkhawk_1.jpg
